id_reseña,Fecha,Título,Contenido,Empresa,Calificación
Bershka_N200,2025-11-14 15:33:06+00:00,Me habéis notificado que está el pedido…,Me habéis notificado que está el pedido entregado pero no ha venido nadie con el paquete. No lo entiendo.,Bershka,1
Bershka_N199,2025-11-14 05:00:45+00:00,Llego un día antes,"Llego un día antes, super buena calidad!",Bershka,5
Bershka_N198,2025-11-13 23:10:58+00:00,"Todo muy sencillo ,rapidez…","Todo muy sencillo ,rapidez ,eficacidad.Gracias por vuestro servicio.",Bershka,5
Bershka_N197,2025-11-13 17:09:39+00:00,"Hice un pedido el sábado,pague casi 4…","Hice un pedido el sábado,pague casi 4 euros para que me llegara a casa. Me dijeron que llegaría lunes o martes. Ni lo he recibido todavía y es jueves y encima me lo dejan en un punto de recogida.",Bershka,1
Bershka_N196,2025-11-13 16:58:40+00:00,Hize un pedido online y nunca llego,Sin contenido,Bershka,1
Bershka_N195,2025-11-13 16:52:26+00:00,El transporte/entrega un desastre,"El problema fue con el transporte y la entrega. Desde el día 7 que se suponía que se entregaba , no tuvimos noticias hasta el día 13 en que por fin se entregó.",Bershka,1
Bershka_N194,2025-11-13 15:55:44+00:00,Podría ser peor.,"Todo fue bien hasta que llegó la hora de esperar por mi pedido, llegó siete días después de la fecha de entrega que me había dado la misma Bershka. Bueno, el empaque llegó bien.. bueno a medias porque el embalaje si estuvo bien pero en sí el producto llegó con el empaque medio abierto pero en sí todo bien. Mm... 2/10 porque solo responden los días de semana y en un horario específico y para remate responden después de un día o dos. Y también por el gran retraso que me dieron. Volvería a pedir? Sí pero cosas de no mucho valor pues no confío al 100% en esta empresa.",Bershka,2
Bershka_N193,2025-11-13 15:35:10+00:00,Quickly and good,My jackect came very quickly and everything was great,Bershka,5
Bershka_N192,2025-11-13 12:29:30+00:00,Llego muy pronto y todo bien embalado,Sin contenido,Bershka,5
Bershka_N191,2025-11-13 04:50:21+00:00,Dentro de todo buen servicio,"Las botas parecian como mas grandes en las fotos y la descripcion asi lo menciona,pero son medio ajustadas. la calidad se ve buena el sistema de reparto es malo, puse todos los detalles de mi direccion para que n o hubiese confusion y aun asi tuvieron problemas para entregarme el pedido. Te dan el espacio para que pongas los detalles de entrega pero luego en el paquete no los ponen, entonces al repartidor se le hace dificil encontrar la direccion",Bershka,4
Bershka_N190,2025-11-13 00:55:06+00:00,No me han llegado a mi domicilio,No me han llegado a mi domicilio. Y me pone q están entregadas. Pésimo todo,Bershka,1
Bershka_N189,2025-11-12 22:21:39+00:00,Encantada con el trabajo que…,"Encantada con el trabajo que hacen,entrega super rapida y facil de comprar cuando no tienes tiempo o no te apetece ir a la tienda,muy satisfecha.",Bershka,5
Bershka_N188,2025-11-12 21:19:30+00:00,No ha llegado el producto que he…,"No ha llegado el producto que he pedido, ni la talla",Bershka,1
Bershka_N187,2025-11-12 20:26:53+00:00,Excelente llego a tiempo no a tardado…,"Excelente llego a tiempo no a tardado nada, aparte bien la ropa bien doblada en su empaque ecológico de papel me agustado",Bershka,5
Bershka_N186,2025-11-12 18:10:44+00:00,muy rápidos,muy rápidos,Bershka,5
Bershka_N185,2025-11-12 16:26:02+00:00,Pésimo servicio,Hace dos semanas que no me ha llegado un paquete. Dicen que lo están gestionando con la empresa de transporte. Sigo sin producto y sin mi dinero. Pésimo servicio online,Bershka,1
Bershka_N184,2025-11-12 15:43:31+00:00,Genial,"Genial, entrega rapidísima. Maravilloso para quienes no tenemos opción de ir a tiendas físicas.",Bershka,5
Bershka_N183,2025-11-12 12:10:18+00:00,Compré unas botas cowboy que vinieron…,Compré unas botas cowboy que vinieron en una simple bolsa en lugar de una caja.,Bershka,3
Bershka_N182,2025-11-12 11:37:06+00:00,Malísima experiencia,"Terrible mi experiencia con la compra, lo pedí para una fecha porque era un regalo y no llegó en el día indicado. Me llegó un mes después y ahora tuve que hacer la devolución de uno de los productos y que se tardan 14 días en la devolución del dinero sabiendo que quería cambiarlo por otra prenda. Realmente me han decepcionado es mi primera vez comprando por la página y será la última porque me decepcionaron totalmente.",Bershka,1
Bershka_N181,2025-11-12 08:23:56+00:00,Todo rápido y muy bien.,Sin contenido,Bershka,5
Bershka_N180,2025-11-12 07:48:35+00:00,"BERSKA,estafa a los clientes","Me llegó mi pedido el 16 de octubre no completo.Me faltaban 4 prendas.Mi forma de demostrar que no las he recibido es el tamaño pequeño del paquete enviado,imposible cupiera todo en ese único paquete.A día de hoy no han resuelto mi problema.La atención al cliente es pésima",Bershka,1
Bershka_N179,2025-11-11 23:44:13+00:00,Me encanta pedir en Bershka tanto…,"Me encanta pedir en Bershka tanto online como en tienda, tiene precios asequibles y tiene calidas",Bershka,5
Bershka_N178,2025-11-11 23:39:50+00:00,Super bien,"Super bien , te avisan cuando hay tu talla. Siempre suele haber tallas disponibles.Y el pedido llega muy rápido. Me encanta comprar Bershka",Bershka,5
Bershka_N177,2025-11-10 20:46:20+00:00,Todo perfecto,"Todo perfecto, solo que las etiquetas de los productos vienen rotas y eso puede afectar a la devolución.",Bershka,4
Bershka_N176,2025-11-10 17:39:51+00:00,Rapidez en recibir mis artículos,Rapidez en recibir mis artículos. Bien empaquetado. Empresa GLS. La recomiendo 100x100. Chaqueta y pantalón de breska han conseguido mis expectativas.,Bershka,5
Bershka_N175,2025-11-10 15:05:26+00:00,GLS mal reparto,"Le pongo 3estrellas por culpa del reparto.enciaron el paquete con GLS,pedí entrega en domicilio y me lo llevaron a un punto de recogida al que tuve que ir porque decían que no estaba en casa.Lo cuál es mentira porque no salí de casa hasta que tuve que ir a por el paquete que ellos no me habían entregado.Les aconsejo que cambie de empresa de reparto porque no veo justo que pague por entrega en domicilio y no me lo den allí porque GLS nunca lo entrega,(en mi zona y Plasencia)por lo menos.",Bershka,3
Bershka_N174,2025-11-10 11:49:28+00:00,El artículo llego en tiempo pero...,"El artículo llego en tiempo , llego bien y podía haber llegado muy mal llega e la caja sin ninguna protección, golpeada , rasgada, abierto por el lateral del precinto ""sellado"" y no quiero saber como hubiese llegado si hubiera llovido.. no hemos tenido que lamentar devolverlo.",Bershka,4
Bershka_N173,2025-11-10 11:25:37+00:00,He recibido el paquete tarde,"He recibido el paquete tarde, el repartidor me lo ha tirado por encima de la puerta sin esperar a penas a que llegara yo a abrir la puerta. si tuviera que elegir para pedir algo de bershka desde luego que no elegiría que me lo trajeran a casa.",Bershka,1
Bershka_N172,2025-11-10 02:15:40+00:00,Me encanto que llegara mucho antes de…,"Me encanto que llegara mucho antes de lo previsto, me llegaron en buen estado las botas, también me gustó que viniera en bolsa de papel y no de plástico.",Bershka,4
Bershka_N171,2025-11-09 04:59:09+00:00,Siempre que pido en bershka me…,Siempre que pido en bershka me sorprendo de la calidad y el buen servicio de reparto siempre me llegan exactamente como lo pido y de muy buena tela amo pedir aquí es la mejor tienda de ropa 🫶🏻🩷,Bershka,5
Bershka_N170,2025-11-08 21:40:59+00:00,Entrega excelente y rápida.,Entrega excelente y rápida.,Bershka,5
Bershka_N169,2025-11-08 17:00:40+00:00,Una shit el envio,"Una shit el envio, el repartidor 10/10 pero el tema del envio fatal, muy mal echo me ha tardado mas de lo que me tenia que venir..",Bershka,1
Bershka_N168,2025-11-08 15:26:48+00:00,Llego muy rápido,Llego muy rápido! Al día siguiente de pedirlo .Muy contenta!,Bershka,5
Bershka_N167,2025-11-08 09:49:25+00:00,Entrega rápida,Entrega rápida. Todo perfecto,Bershka,5
Bershka_N166,2025-11-07 20:47:10+00:00,Decepcionante actitud,"Pague el envio express para que llegue en el dia, y la empresa transportadora con la que trabajan mintio diciendo que intentaron entregarlo cuando no fue asi. El pedido llego al dia siguiente y bershka se nego a reembolsarme el envio o tomar responsabilidad al respecto, poniendose del lado del transportador por sobre el cliente. Decepcionante actitud.",Bershka,1
Bershka_N165,2025-11-07 20:16:36+00:00,"Excelente,Amables y respetuosos con el…","Excelente,Amables y respetuosos con el cliente",Bershka,5
Bershka_N164,2025-11-07 20:11:08+00:00,Equivocación de talla,Equivocación de talla. Es una L. Padre lunes que viene muchas gracias igualmente!!,Bershka,3
Bershka_N163,2025-11-07 18:05:34+00:00,La calidad de la ropa cada vez es más…,"La calidad de la ropa cada vez es más mala y sienta peor. No me quede con nada de lo que compré… pérdida de tiempo, de dinero de los gastos de envío y contaminación para el planeta… Una pena.",Bershka,2
Bershka_N162,2025-11-07 15:40:49+00:00,Me falta un artículo de mi pedido,Me falta un artículo de mi pedido. He pedido dos jerseys y solo me vino uno . Hice la reclamación y no me Dan respuesta,Bershka,1
Bershka_N161,2025-11-06 21:38:19+00:00,Todo llegó perfecto y muy rápido.,Todo llegó perfecto y muy rápido.,Bershka,5
Bershka_N160,2025-11-06 20:46:35+00:00,"Fallo todo,hice el pedido un lunes,me…","Fallo todo,hice el pedido un lunes,me llegaba un miércoles,era un regalo de cumpleaños para el viernes de la misma semana,quedé faltal y después de muchas quejas me ha llegado 8 días después....una barbaridad para una tienda física como Bershka y durante días nadie me ha dado noticias de nada un cero patatero .",Bershka,1
Bershka_N159,2025-11-06 20:24:24+00:00,Genial!!!!,Sin contenido,Bershka,5
Bershka_N158,2025-11-06 19:53:39+00:00,Lo pedí para que me lo trajeran a casa,Lo pedí para que me lo trajeran a casa. He tenido que ir a la tienda a buscarlo.,Bershka,1
Bershka_N157,2025-11-06 17:31:17+00:00,la persona que me ha entregado el…,la persona que me ha entregado el paquete ha sido muy antipática rozando la mala educación,Bershka,1
Bershka_N156,2025-11-06 15:30:59+00:00,Se marca como entregado todo el pedido…,Se marca como entregado todo el pedido cuando se ha dividido en dos pedidos y uno de ellos no lo he recibido.,Bershka,1
Bershka_N155,2025-11-05 23:01:04+00:00,La chaqueta me gusta y es de buena…,La chaqueta me gusta y es de buena calidad. La parte negativa es el retraso de cinco días en la entrega.,Bershka,3
