categoria,id_reseña,Fecha,Título,Contenido,Empresa,Calificación
Banco,ABANCA_N69,2025-04-09 11:00:22+00:00,Muy maja Raquel de at. al cliente,Muy maja Raquel de at. al cliente. Ha sido muy agradable y ha resuelto mi problema para crear una cuenta,ABANCA,5.0
Banco,ABANCA_N68,2025-04-08 13:48:51+00:00,Lamentable,"Lamentable, son unos ladrones, me han quitado 62 euros de mantenimiento sin avisar diciéndome que no me cobrarían hasta los 35 cuando tengo 30, no tengáis cuanta con este banco",ABANCA,1.0
Banco,ABANCA_N67,2025-04-03 14:38:49+00:00,Harto del nefasto trato al cliente Abanca,"Harto del nefasto trato al cliente por parte de Abanca y tras haber cumplido mi periodo de pagar la Hipoteca que me vinculaba con ellos, por no usar una tarjeta de credito, que se me obligaba a usar, me empezaron a cobrar comisiones. Tra reclamar y actuar de buena fe, utilizando la tarjeta de credito en un mes casi todo lo que me piden para el año, deciden no devolverme las comisiones, por lo que decido no trabajar con ellos más. He recibido un cargo de 30 euros parte de Abanca, por haber cambiado mi nomina!! Ni tan siquiera, habian pasado 10 dias desde que lo solicité!! me cobran tres meses!! Reclamas, pro se rien en tu cara....en este Pais solo se abusa del consumidor, NADIE nos protege de estos sinverguenzas!!! Yo lo tengo claro, ME VOY DE ABANCA!!!!",ABANCA,1.0
Banco,ABANCA_N66,2025-04-03 10:13:51+00:00,Cuenta clara con oscuros,"Me hice la cuenta clara por la facilidad y porque no tiene comisiones, se me rompe la tarjeta y al pedir un duplicado me cobran 3€, no es por el importe, es porque si lo lego a saber elijo un banco que no cobre por cosas como ésta.",ABANCA,2.0
Banco,ABANCA_N65,2025-04-02 22:24:45+00:00,Ya compruebo que TRUSPILOT elimina…,Ya compruebo que TRUSPILOT elimina reseñas que no conviene a ABANCA que se sepa,ABANCA,1.0
Banco,ABANCA_N64,2025-04-02 17:16:10+00:00,Banco venido a menos,"Banco venido a menos. En pleno siglo21, te cobran por todo, encima, sin tener razón. Me han cobrado 30 euros de comisiones cuando no habían transcurrido ni 10 días que me lleve mi nómina harto de sus comisiones. Nefasta atención a cliente y nefasto trato al cliente. Huir de ir de Abanca es la mayor satisfacción que me queda. Panda de sinvergüenzas",ABANCA,1.0
Banco,ABANCA_N63,2025-03-29 04:05:28+00:00,He sido cliente y he presentado…,"He sido cliente y he presentado múltiples reclamaciones por operaciones no autorizadas. La respuesta de Abanca es un copy‐paste predecible, sin ningún análisis real de mi caso. Sus “soluciones” son meras fórmulas estándar, que ignoran flagrantemente los hechos: cargos realizados en condiciones ilegítimas, donde el titular de la cuenta de juego no coincide con el de la tarjeta. Abanca actúa con total opacidad y desprecio hacia el cliente. No responden por banca electrónica, correo postal ni electrónico, y se limitan a devoluciones parciales de importes irrisorios, mientras ignoran el resto de mis reclamaciones. Parecen confiar en que el cliente se cansará antes de exigir una solución. Es inaceptable que una entidad financiera que presume de solidez y modernidad trate así a sus usuarios. La mala praxis, la falta de control y el evidente desinterés por solucionar problemas son, en mi opinión, prácticas de una auténtica mafia bancaria. No recomiendo Abanca a nadie que valore la transparencia y la eficacia en el servicio.",ABANCA,1.0
Banco,ABANCA_N62,2025-03-28 19:53:23+00:00,DE LO PEOR QUE HE VISTO,"DE LO PEOR QUE HE VISTO, SI NO ERES CLIENTE OLVÍDATE, PARA UNS GESTIÓN TAN SIMPLE COMO PEDIR UNA LICENCIA DE PESCA HE TENIDO QUE IR DOS VECES Y SACAR NÚMERO DE CAJA ESTANDO COMO ÚNICO CLIENTE EN LA OFICINA",ABANCA,1.0
Banco,ABANCA_N61,2025-03-28 12:54:46+00:00,El seguro mas ineficaz,"El jueves 20/3 di un parte por la rotura de una tubería de agua. Hoy es martes 25/3 y todavía no me han mandado un fontanero que lo arregle. La información que me dan es ninguna y cuando llamo la respuesta estandar es que van a agilizar los trámites. En definitiva, ni se os ocurra contratar con ellos Hoy 28/03 he tenido que llamar yo al fontanero. Al final el problema es que me han vendido un seguro y no tienen personal para gestionar los siniestros en la zona",ABANCA,1.0
Banco,ABANCA_N60,2025-03-25 12:02:57+00:00,El seguro mas ineficaz,"El jueves 20/3 di un parte por la rotura de una tubería de agua. Hoy es martes 25/3 y todavía no me han mandado un fontanero que lo arregle. La información que me dan es ninguna y cuando llamo la respuesta estandar es que van a agilizar los trámites. En definitiva, ni se os ocurra contratar con ellos",ABANCA,1.0
Banco,ABANCA_N59,2025-03-23 20:13:35+00:00,Operaciones con tarjeta fraudulentas no devueltas,"Mi experiencia con Abanca ha sido frustrante y decepcionante. Llevo un mes reclamando ciertas operaciones no autorizadas con tarjeta que ascienden a 890€, y aunque se han realizado varias promesas de resolución, hasta el momento no he recibido ninguna respuesta satisfactoria. Sólo se han devuelto 29,99€ de una de ellas realizada en la misma franja horaria y día. A pesar de que tengo toda la razón en las impugnaciones que he realizado, las entidad bancaria no han respondido de manera efectiva y, en muchos casos, ni siquiera ha cumplido con lo prometido. Uno de los problemas principales es la falta de transparencia y el tiempo de espera innecesariamente largo. A pesar de estar en contacto con ellos, no solo no se ha solucionado el problema, sino que se ha hecho cada vez más evidente que no están comprometidos con resolver los conflictos de manera adecuada. En mi caso, siento que me he estado jugando el tiempo y la energía para intentar resolver una situación que, a pesar de que ya he impugnado, parece que no va a ser atendida correctamente. Es una situación muy frustrante, especialmente considerando que los errores no han sido míos, y es decepcionante ver cómo las grandes instituciones siguen ignorando a los clientes, dejándolos en una posición de desamparo. Si estás buscando un banco que te trate con seriedad y responsabilidad, lamentablemente no puedo recomendar Abanca. La falta de respuesta y de soluciones es inaceptable. Seguiré por el juzgado ya que el importe es menor de 2.000€ y al menos no necesito gastar en abogado y procurador. Rec. exp 2025054499",ABANCA,1.0
Banco,ABANCA_N58,2025-03-22 19:13:46+00:00,EL PEOR BANCO DEL MUNDO,"El peor banco del mundo. Estoy esperando que pase la permanencia para deshacerme de ellos. Anoche intenté hacer un pago, había hecho otro en una tienda y me dice que mi in es incorrecto. Era correcto pero me dice que pida otro. Lo hago y me dicen que me lo envían por sms. Lo he intentado ayer y hoy un montón de veces pero no ha sido posible. No me llega el sms, sin embargo otros sí me han llegado. Tengo 75 años y un Galaxy S22. He trabajado 28 años en banca y me sé manejar. He llamado a atención al cliente y me dicen que hasta el lunes no puedo disponer de mi cuenta por que es fin de semana. Alucinante que hasta el lunes no pueda disponer de mi dinero. VERGÜENZA DE BANQUITO. El año pasado me robaron 296 euros desde Italia y yo en casa viendo los mensajes de las compras que hicieron. 7 conpras en 2 minutos. Pude rechazar 2 más por que apagué la tarjeta antes de bloquearla. Era parte de la pensión, para ellos una miseria, para mí un dinero necesario. NO ME LO HAN QUERIDO DEVOLVER A PESAR DE TENER UN SEGURO PARA ESTAFAS.",ABANCA,1.0
Banco,ABANCA_N57,2025-03-10 20:56:49+00:00,Falta de seguridad y obstáculos en la reclamación de operaciones fraudulentas ABANCA,"ABANCA ha demostrado una grave negligencia en la protección de sus clientes y en la aplicación de medidas de seguridad adecuadas. Han permitido operaciones en casas de apuestas donde el titular de la tarjeta de pago no coincide con el titular de la cuenta de juego, vulnerando tanto sus propias políticas como normativas de seguridad financiera y juego responsable. Además, no han aplicado autenticación reforzada ni bloqueado transacciones sospechosas, incluso en sectores de alto riesgo como el juego online. Tampoco han notificado a tiempo sobre movimientos inusuales, lo que impidió que pudiera reaccionar y frenar los pagos fraudulentos. Como si esto no fuera suficiente, ABANCA está obstruyendo la posibilidad de reclamar las operaciones fraudulentas. Al solicitar la devolución del primer cargo, bloquean la tarjeta por “seguridad”, lo que hace que desaparezca la opción de seguir reclamando el resto de los movimientos tanto en la web como en la aplicación. Este mecanismo dificulta intencionadamente la recuperación del dinero perdido y deja al cliente sin alternativas claras. Otras entidades bancarias aplican políticas más estrictas para evitar fraudes y protegen realmente a sus clientes, pero ABANCA ha ignorado todas las señales de alerta y permitido que se vulneren normativas esenciales. Si buscas un banco que realmente proteja tu dinero y no ponga trabas a la hora de reclamar operaciones no autorizadas, ABANCA no es la mejor opción. Y no pienso cesar hasta recuperar mi dinero. Acudiré a litigios europeos, juzgado de mi provincia, Ministerio de consumo al banco de España y a todas las entidades competentes",ABANCA,1.0
Banco,ABANCA_N56,2025-03-07 11:01:47+00:00,No son recomendables,Es un seguro de lo peor que he visto en mi vida. No dan razones ni justifican sus decisiones manifestando que se pida vía judicial. Te engañan diciendo que te ayudan a buscar profesionales para resolver problemas y luego te dicen que no. Me recuerda la España del siglo XIX con Larra y vuelva usted mañana. Para darse de baja inmediatamente.,ABANCA,1.0
Banco,ABANCA_N55,2025-03-06 13:34:29+00:00,La app va fatal,"La app va fatal, 6 intentos haciendo una simple transferencia que es delicado y se te queda colgada en medio del proceso. Da igual la hora a la que la haga. Fatal la verdad. En cuanto pueda me voy.",ABANCA,1.0
